track_name,artist_name,popularity,danceability,energy,valence
沈まない太陽,WagakkiBand,0.3,0.59,0.94,0.5
水平線,back number,0.7,0.42,0.76,0.42
母老虎,Ty,0.26,0.78,0.71,0.86
殘渣,葉巧琳,0.25,0.53,0.47,0.35
"歌劇コジ・ファン・トゥッテ, K 588 第 1幕: 詩人どもの戯言さドン・アルフォンソ,フェランド,グリエルモ",Wolfgang Amadeus Mozart,0.11,0.54,0.31,0.46
"歌劇コジ・ファン・トゥッテ, K 588 第 1幕: 綺麗なセレナードをドン・アルフォンソ,フェランド,グリエルモ",Wolfgang Amadeus Mozart,0.1,0.42,0.3,0.59
"歌劇コジ・ファン・トゥッテ, K 588 第 1幕: 私に毎日手紙を書くと約束してくださいなフィオルディリージ,ドラベッラ,グリエルモ,フェランド,ドン・アルフォンソ",Wolfgang Amadeus Mozart,0.1,0.29,0.11,0.07
"歌劇コジ・ファン・トゥッテ, K 588 第 1幕: 女たちの貞節なんてドン・アルフォンソ,フェランド,グリエルモ",Wolfgang Amadeus Mozart,0.11,0.45,0.27,0.63
"歌劇コジ・ファン・トゥッテ, K 588 第 1幕: 剣を抜きたまえドン・アルフォンソ,フェランド,グリエルモ",Wolfgang Amadeus Mozart,0.11,0.4,0.28,0.53
"歌劇コジ・ファン・トゥッテ, K 588 第 1幕: 僕のドラベラにゃフェランド,グリエルモ,ドン・アルフォンソ",Wolfgang Amadeus Mozart,0.12,0.44,0.36,0.74
"歌劇コジ・ファン・トゥッテ, K 588 第 1幕: 今朝は私,自分から進んでフィオルディリージ,ドラベッラ",Wolfgang Amadeus Mozart,0.1,0.45,0.12,0.17
"歌劇コジ・ファン・トゥッテ, K 588 第 1幕: ああ,見てよ,妹フィオルディリージ,ドラベッラ",Wolfgang Amadeus Mozart,0.1,0.32,0.16,0.21
歌の棲む家~メゾン初音~,Mitchie M×OSTER project,0.39,0.61,0.91,0.7
橙海,Supper Moment,0.4,0.31,0.66,0.47
東京シューシャインボーイ,暁テル子,0.32,0.8,0.26,0.92
未来へ  Remastered,Kiroro,0.43,0.57,0.47,0.3
有火,Nicholas Tse,0.33,0.38,0.71,0.38
月の光,Claude Debussy,0.16,0.35,0.02,0.05
月、欠けSick Team Remix,toe,0.29,0.76,0.45,0.82
月、欠けBudaMunk Remix,toe,0.29,0.77,0.13,0.73
最難忘一天  劇集 棟仁的時光 主題曲,Hubert Wu,0.26,0.71,0.35,0.25
最美的期待,Bibi Zhou,0.52,0.44,0.43,0.27
最暖的憂傷  電視劇溫暖的弦主題曲,Hebe Tien,0.43,0.43,0.38,0.15
最想去的地方,炎亞綸,0.2,0.54,0.5,0.25
最好的快要發生The Best Is Yet To Come,Nicholas Teo,0.3,0.24,0.33,0.13
最好的快要發生 The Best Is Yet To Come,Nicholas Teo,0.21,0.24,0.33,0.13
最久的瞬間電視劇一路繁花相送主題曲,炎亞綸,0.29,0.51,0.66,0.21
晴天樹 Tree,Nicholas Teo,0.36,0.35,0.44,0.28
普通Disco  Live,Wang Feng,0.31,0.67,0.89,0.43
晩餐歌,tuki,0.72,0.65,0.64,0.63
晚楓歌,孟子坤,0.33,0.42,0.54,0.38
時間と距離と僕らの旅,odol,0.33,0.63,0.68,0.55
春の嵐,UEBO,0.34,0.41,0.79,0.38
明仔載 正式版  電影花甲大人轉男孩推廣曲,Crowd Lu,0.44,0.73,0.09,0.28
早應該,Tia Lee,0.28,0.7,0.17,0.25
无人知晓,Xu Wei,0.24,0.53,0.57,0.33
新しい恋人達に,back number,0.73,0.3,0.63,0.31
斗羅大陸 動畫網路劇 斗羅大陸 主題曲,Jam Hsiao,0.25,0.48,0.93,0.63
放下的時候,劉燁,0.17,0.6,0.37,0.35
摩天大樓,Joker Xue,0.34,0.5,0.41,0.33
掌で踊る,Sokoninaru,0.39,0.52,0.92,0.54
拿下這一場,Cosmos People,0.27,0.52,0.8,0.28
找朋友,VaVa,0.31,0.83,0.61,0.52
戦ってしまうよ,Gesu No Kiwami Otome,0.22,0.39,0.92,0.46
我要我們在一起  Live,Li Quan,0.22,0.44,0.11,0.08
我搞,泰坦,0.1,0.76,0.82,0.42
我懂你的獨特,Miu Chu,0.29,0.39,0.4,0.16
我愛妳彭拉昆,Nico  Kim,0.4,0.34,0.69,0.39
我們為什麼在一起,肖懿航,0.22,0.32,0.56,0.21
我們之間 電視劇《我站在橋上看風景》插曲,馮提莫,0.3,0.66,0.57,0.32
我們  《後來的我們》電影主題曲,Eason Chan,0.64,0.36,0.1,0.2
我们,Bell Yu Tian,0.28,0.62,0.21,0.4
我  Live,Hua Chen Yu,0.34,0.25,0.12,0.15
慢慢喜歡你,Karen Mok,0.51,0.64,0.28,0.4
愛的引力,LAY,0.33,0.76,0.77,0.65
愛是無盡  劇集 “翻生武林” 主題曲,林師傑,0.21,0.5,0.79,0.62
愛是光俄羅斯電影《花滑女王》中文主題曲  The Chinese Theme Song of Russian Film Ice,Julia Peng,0.32,0.34,0.36,0.21
愛情太傷人 韓劇《藍色海洋的傳說》片尾曲,Under Lover,0.19,0.57,0.31,0.21
愛後餘生,Vincy Chan,0.23,0.34,0.11,0.31
愛到這,LAY,0.38,0.74,0.67,0.49
愛了很久的朋友電影「後來的我們」插曲,Hebe Tien,0.56,0.36,0.33,0.14
愛を巻き戻して,Kiyotaka Sugiyama,0.16,0.63,0.67,0.58
愛とU,Mega Shinnosuke,0.61,0.8,0.69,0.8
愛してるのに、愛せない,AAA,0.23,0.55,0.84,0.48
"愛,存在",魏奇奇,0.54,0.27,0.45,0.26
想都不用想  電視劇「流星花園」插曲,Dylan Wang,0.53,0.53,0.66,0.28
惑星タントラ,Etsuko Yakushimaru,0.32,0.65,0.78,0.33
情人流浪記  Live,Angela Chang,0.25,0.21,0.32,0.18
息をするために,Gesu No Kiwami Otome,0.3,0.77,0.47,0.89
恭喜發財五福來,Andy Lau,0.26,0.76,0.66,0.52
怪獣ピノ・ポラリス,Kikuo,0.22,0.38,0.72,0.26
怪獣の花唄,Vaundy,0.71,0.34,0.94,0.64
